Ticker,ISIN,LONG_COMP_NAME,CRNCY,PX_LAST
ENR GY Equity,DE000ENER6Y0,Siemens Energy AG,EUR,19.105
SY1 GY Equity,DE000SYM9999,Symrise AG,EUR,102.25
HFG GY Equity,DE000A161408,HelloFresh SE,EUR,54.34
PAH3 GY Equity,DE000PAH0038,Porsche Automobil Holding SE,EUR,78.4
MTX GY Equity,DE000A0D9PT0,MTU Aero Engines AG,EUR,188.05
PUM GY Equity,DE0006969603,Puma SE,EUR,90.16
LIN GY Equity,IE00BZ12WP82,Linde PLC,EUR,261.8
SHL GY Equity,DE000SHL1006,Siemens Healthineers AG,EUR,56.6
ZAL GY Equity,DE000ZAL1111,Zalando SE,EUR,64.24
DHER GY Equity,DE000A2E4K43,Delivery Hero SE,EUR,66.32
QIA GY Equity,NL0012169213,QIAGEN NV,EUR,43
SRT3 GY Equity,DE0007165631,Sartorius AG,EUR,441.4
BNR GY Equity,DE000A1DAHH0,Brenntag SE,EUR,75.3
AIR GY Equity,NL0000235190,Airbus SE,EUR,115.66
ALV GY Equity,DE0008404005,Allianz SE,EUR,229.85
1COV GY Equity,DE0006062144,Covestro AG,EUR,53.98
RWE GY Equity,DE0007037129,RWE AG,EUR,36.86
BAYN GY Equity,DE000BAY0017,Bayer AG,EUR,52.79
BMW GY Equity,DE0005190003,Bayerische Motoren Werke AG,EUR,89.91
DBK GY Equity,DE0005140008,Deutsche Bank AG,EUR,14.374
BAS GY Equity,DE000BASF111,BASF SE,EUR,68.2
HEN3 GY Equity,DE0006048432,Henkel AG & Co KGaA,EUR,73.14
SIE GY Equity,DE0007236101,Siemens AG,EUR,136.6
VOW3 GY Equity,DE0007664039,Volkswagen AG,EUR,176.46
EOAN GY Equity,DE000ENAG999,E.ON SE,EUR,12.28
BEI GY Equity,DE0005200000,Beiersdorf AG,EUR,88.3
HEI GY Equity,DE0006047004,HeidelbergCement AG,EUR,65.82
MUV2 GY Equity,DE0008430026,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,EUR,272.95
FRE GY Equity,DE0005785604,Fresenius SE & Co KGaA,EUR,37.335
SAP GY Equity,DE0007164600,SAP SE,EUR,109.74
MRK GY Equity,DE0006599905,Merck KGaA,EUR,184.25
ADS GY Equity,DE000A1EWWW0,adidas AG,EUR,239.1
DTE GY Equity,DE0005557508,Deutsche Telekom AG,EUR,17.35
DPW GY Equity,DE0005552004,Deutsche Post AG,EUR,52.36
FME GY Equity,DE0005785802,Fresenius Medical Care AG & Co KGaA,EUR,60.08
MBG GY Equity,DE0007100000,Mercedes-Benz Group AG,EUR,67.56
IFX GY Equity,DE0006231004,Infineon Technologies AG,EUR,32.54
DB1 GY Equity,DE0005810055,Deutsche Boerse AG,EUR,157.1
VNA GY Equity,DE000A1ML7J1,Vonovia SE,EUR,47.59
CON GY Equity,DE0005439004,Continental AG,EUR,89.42
